Bag,ztop,Age,Deuterium,Temperature
658.0,361.35,11649.1289,-388.3,0.01
659.0,361.9,11667.3623,-394.8,-1.06
660.0,362.45,11685.5176,-387.9,0.07
661.0,363.0,11703.75,-396.1,-1.29
662.0,363.55,11722.7441,-391.3,-0.5
663.0,364.1,11741.7461,-393.6,-0.88
664.0,364.65,11760.4072,-387.8,0.07
665.0,365.2,11778.9531,-396.1,-1.3
666.0,365.75,11798.4639,-403.2,-2.48
667.0,366.3,11819.9482,-399.4,-1.85
668.0,366.85,11841.3965,-400.8,-2.09
669.0,367.4,11862.6777,-399.4,-1.86
670.0,367.95,11883.957,-400.9,-2.11
671.0,368.5,11905.2725,-399.2,-1.84
672.0,369.05,11926.5986,-404.9,-2.78
673.0,369.6,11949.4121,-404.0,-2.64
674.0,370.15,11972.2861,-398.2,-1.69
675.0,370.7,11993.3936,-400.0,-1.99
676.0,371.25,12014.4326,-399.8,-1.96
677.0,371.8,12036.7266,-406.2,-3.02
678.0,372.35,12059.3008,-403.5,-2.57
679.0,372.9,12082.4902,-405.5,-2.91
680.0,373.45,12105.833,-414.8,-4.44
681.0,374.0,12130.8604,-406.2,-3.03
682.0,374.55,12156.1396,-405.8,-2.97
683.0,375.1,12180.584,-410.9,-3.81
684.0,375.65,12204.7021,-403.7,-2.63
685.0,376.2,12227.249,-400.6,-2.12
686.0,376.75,12249.9336,-409.6,-3.61
687.0,377.3,12273.4033,-401.2,-2.23
688.0,377.85,12297.4521,-413.3,-4.23
689.0,378.4,12323.7012,-414.3,-4.4
690.0,378.95,12349.8477,-408.8,-3.49
691.0,379.5,12375.8887,-417.4,-4.91
692.0,380.05,12401.6885,-406.8,-3.17
693.0,380.6,12427.3848,-404.3,-2.76
694.0,381.15,12452.1934,-412.4,-4.1
695.0,381.7,12477.0107,-412.6,-4.14
696.0,382.25,12503.2119,-410.9,-3.86
697.0,382.8,12530.3105,-420.8,-5.5
698.0,383.35,12559.377,-417.2,-4.91
699.0,383.9,12588.3926,-418.8,-5.17
700.0,384.45,12617.3242,-415.6,-4.65
701.0,385.0,12645.7383,-418.6,-5.15
702.0,385.55,12673.4316,-410.9,-3.88
703.0,386.1,12700.4229,-413.7,-4.35
704.0,386.65,12727.2959,-412.7,-4.19
705.0,387.2,12754.4102,-419.3,-5.28
706.0,387.75,12784.1279,-420.8,-5.53
707.0,388.3,12812.8379,-412.1,-4.1
708.0,388.85,12840.6387,-416.0,-4.74
709.0,389.4,12867.3994,-408.8,-3.56
710.0,389.95,12894.1436,-413.9,-4.41
711.0,390.5,12921.5732,-416.4,-4.82
712.0,391.05,12949.6152,-417.7,-5.04
713.0,391.6,12978.3389,-414.9,-4.58
714.0,392.15,13005.3965,-410.4,-3.85
715.0,392.7,13032.168,-411.6,-4.05
716.0,393.25,13058.9648,-415.0,-4.61
717.0,393.8,13086.6318,-418.4,-5.17
718.0,394.35,13115.4902,-415.5,-4.7
719.0,394.9,13143.252,-412.9,-4.27
720.0,395.45,13170.4932,-408.0,-3.47
721.0,396.0,13195.9873,-410.8,-3.94
722.0,396.55,13221.9482,-414.8,-4.6
723.0,397.1,13248.8369,-408.7,-3.6
724.0,397.65,13274.8125,-408.5,-3.57
725.0,398.2,13300.1768,-411.8,-4.12
726.0,398.75,13326.6846,-412.8,-4.28
727.0,399.3,13353.667,-419.0,-5.31
728.0,399.85,13383.1836,-417.5,-5.06
729.0,400.4,13412.043,-414.0,-4.49
730.0,400.95,13440.2119,-416.6,-4.92
731.0,401.5,13467.7861,-410.8,-3.97
732.0,402.05,13494.8799,-403.4,-2.76
733.0,402.6,13519.9131,-413.7,-4.46
734.0,403.15,13545.542,-410.2,-3.88
735.0,403.7,13572.4082,-415.9,-4.83
736.0,404.25,13600.4316,-416.8,-4.98
737.0,404.8,13629.2363,-417.3,-5.06
738.0,405.35,13658.3955,-417.1,-5.03
739.0,405.9,13686.9766,-411.9,-4.18
740.0,406.45,13714.5898,-415.5,-4.78
741.0,407.0,13742.3896,-413.4,-4.43
742.0,407.55,13770.2178,-405.0,-3.06
743.0,408.1,13796.3457,-417.2,-5.07
744.0,408.65,13822.4404,-405.5,-3.15
745.0,409.2,13848.4473,-414.3,-4.6
746.0,409.75,13875.4268,-414.8,-4.68
747.0,410.3,13903.4229,-412.0,-4.23
748.0,410.85,13929.7461,-407.5,-3.49
749.0,411.4,13955.624,-403.4,-2.82
750.0,411.95,13978.9863,-402.3,-2.64
751.0,412.5,14002.4414,-405.9,-3.24
752.0,413.05,14027.6934,-410.4,-3.98
753.0,413.6,14053.2969,-410.8,-4.05
