Depth (m),del18O,Age (yrs BP),temperature
413.05,-34.69,1803.0,-31.33
413.6,-35.36,1805.8,-32.33
414.15,-34.79,1808.7,-31.48
414.7,-35.6,1811.4,-32.69
415.25,-33.22,1814.4,-29.13
415.8,-34.88,1817.0,-31.61
416.35,-35.41,1819.8,-32.4
416.9,-34.72,1822.7,-31.37
417.45,-35.13,1825.4,-31.99
418.0,-34.82,1828.3,-31.52
418.55,-34.69,1831.1,-31.33
419.1,-35.09,1833.9,-31.93
419.65,-34.78,1836.7,-31.46
420.2,-35.83,1839.5,-33.03
420.75,-35.53,1842.5,-32.58
421.3,-34.4,1845.5,-30.9
421.85,-34.88,1848.2,-31.61
422.4,-35.21,1851.0,-32.1
422.95,-34.59,1853.9,-31.18
423.5,-35.0,1856.6,-31.79
424.05,-34.41,1859.5,-30.91
424.6,-34.17,1862.2,-30.55
425.15,-35.71,1864.9,-32.85
425.7,-34.48,1867.9,-31.01
426.25,-35.11,1870.6,-31.96
426.8,-34.89,1873.5,-31.63
427.35,-34.83,1876.3,-31.54
427.9,-34.49,1879.1,-31.03
428.45,-34.41,1881.9,-30.91
429.0,-34.62,1884.6,-31.22
429.55,-34.56,1887.4,-31.13
430.1,-34.61,1890.1,-31.21
430.65,-34.91,1892.9,-31.66
431.2,-34.49,1895.7,-31.03
431.75,-34.33,1898.5,-30.79
432.3,-34.02,1901.2,-30.33
432.85,-33.62,1903.8,-29.73
433.4,-35.21,1906.5,-32.1
433.95,-34.07,1909.4,-30.4
434.5,-34.8,1912.0,-31.49
435.05,-34.79,1914.8,-31.48
435.6,-35.74,1917.7,-32.9
436.15,-35.03,1920.7,-31.84
436.7,-34.07,1923.6,-30.4
437.25,-34.55,1926.2,-31.12
437.8,-33.11,1929.0,-28.97
438.35,-33.83,1931.6,-30.04
438.9,-34.66,1934.2,-31.28
439.45,-35.4,1937.0,-32.39
440.0,-35.73,1940.0,-32.88
440.55,-35.12,1943.0,-31.97
441.1,-34.84,1945.9,-31.55
441.65,-34.68,1948.7,-31.31
442.2,-35.63,1951.5,-32.73
442.75,-33.71,1954.5,-29.87
443.3,-35.62,1957.2,-32.72
443.85,-35.11,1960.2,-31.96
444.4,-35.56,1963.1,-32.63
444.95,-34.75,1966.1,-31.42
445.5,-35.16,1968.9,-32.03
446.05,-36.0,1971.8,-33.28
446.6,-34.37,1974.9,-30.85
447.15,-34.52,1977.7,-31.07
447.7,-33.64,1980.4,-29.76
448.25,-35.06,1983.1,-31.88
448.8,-35.19,1986.0,-32.07
449.35,-34.88,1988.9,-31.61
449.9,-34.83,1991.7,-31.54
450.45,-35.08,1994.6,-31.91
451.0,-34.51,1997.5,-31.06
451.55,-34.23,2000.2,-30.64
452.1,-34.16,2003.0,-30.54
452.65,-34.14,2005.7,-30.51
453.2,-34.38,2008.4,-30.87
453.75,-35.3,2011.2,-32.24
454.3,-34.8,2014.1,-31.49
454.85,-35.22,2017.0,-32.12
455.4,-37.22,2019.9,-35.1
455.95,-35.09,2023.5,-31.93
456.5,-36.25,2026.4,-33.66
457.05,-35.32,2029.6,-32.27
457.6,-34.17,2032.6,-30.55
458.15,-33.87,2035.3,-30.1
458.7,-35.79,2038.0,-32.97
459.25,-36.53,2041.1,-34.07
459.8,-35.83,2044.4,-33.03
460.35,-35.86,2047.5,-33.07
460.9,-34.65,2050.6,-31.27
461.45,-34.44,2053.4,-30.96
462.0,-33.47,2056.2,-29.51
462.55,-35.12,2058.8,-31.97
463.1,-35.06,2061.8,-31.88
463.65,-35.73,2064.7,-32.88
464.2,-35.02,2067.7,-31.82
464.75,-34.56,2070.6,-31.13
465.3,-35.15,2073.5,-32.01
465.85,-34.34,2076.4,-30.81
466.4,-33.98,2079.2,-30.27
466.95,-33.86,2081.9,-30.09
467.5,-35.19,2084.6,-32.07
468.05,-35.32,2087.5,-32.27
468.6,-35.86,2090.5,-33.07
469.15,-36.12,2093.6,-33.46
469.7,-35.3,2096.8,-32.24
470.25,-34.72,2099.8,-31.37
470.8,-35.41,2102.6,-32.4
471.35,-34.62,2105.6,-31.22
471.9,-35.51,2108.5,-32.55
472.45,-34.62,2111.5,-31.22
473.0,-35.01,2114.3,-31.81
473.55,-34.7,2117.2,-31.34
474.1,-34.69,2120.1,-31.33
474.65,-35.35,2122.9,-32.31
475.2,-35.2,2125.9,-32.09
475.75,-33.77,2128.9,-29.96
476.3,-35.82,2131.6,-33.01
476.85,-34.43,2134.7,-30.94
477.4,-34.7,2137.5,-31.34
477.95,-34.7,2140.4,-31.34
478.5,-34.71,2143.2,-31.36
479.05,-34.34,2146.1,-30.81
479.6,-35.53,2148.9,-32.58
480.15,-35.24,2151.9,-32.15
480.7,-35.25,2154.9,-32.16
481.25,-34.37,2157.9,-30.85
481.8,-36.21,2160.7,-33.6
482.35,-35.53,2163.9,-32.58
482.9,-34.88,2167.0,-31.61
483.45,-35.0,2169.9,-31.79
484.0,-35.05,2172.8,-31.87
484.55,-36.01,2175.7,-33.3
485.1,-35.59,2178.9,-32.67
485.65,-36.0,2182.0,-33.28
486.2,-35.03,2185.2,-31.84
486.75,-35.8,2188.1,-32.99
487.3,-33.69,2191.3,-29.84
487.85,-35.01,2194.0,-31.81
488.4,-34.92,2196.9,-31.67
488.95,-34.03,2199.8,-30.34
489.5,-34.75,2202.6,-31.42
490.05,-34.61,2205.4,-31.21
490.6,-36.57,2208.3,-34.13
491.15,-34.43,2211.7,-30.94
491.7,-32.86,2214.5,-28.6
492.25,-33.54,2217.1,-29.61
492.8,-33.77,2219.8,-29.96
493.35,-35.46,2222.5,-32.48
493.9,-34.82,2225.6,-31.52
494.45,-35.9,2228.5,-33.13
495.0,-33.18,2231.7,-29.07
495.55,-34.8,2234.3,-31.49
496.1,-34.89,2237.2,-31.63
496.65,-35.05,2240.1,-31.87
497.2,-33.34,2243.1,-29.31
497.75,-34.46,2245.8,-30.99
498.3,-34.49,2248.6,-31.03
498.85,-34.91,2251.5,-31.66
499.4,-34.73,2254.4,-31.39
499.95,-34.78,2257.3,-31.46
500.5,-34.73,2260.2,-31.39
501.05,-34.36,2263.1,-30.84
501.6,-35.05,2265.9,-31.87
502.15,-34.56,2268.9,-31.13
502.7,-35.42,2271.7,-32.42
503.25,-34.92,2274.8,-31.67
503.8,-36.36,2277.7,-33.82
504.35,-34.4,2281.1,-30.9
504.9,-34.03,2283.9,-30.34
505.45,-35.4,2286.7,-32.39
506.0,-35.57,2289.7,-32.64
506.55,-34.75,2292.8,-31.42
507.1,-35.121,2295.8,-31.97
507.65,-35.62,2298.7,-32.72
508.2,-35.98,2301.9,-33.25
508.75,-35.03,2305.1,-31.84
509.3,-35.74,2308.1,-32.9
509.85,-35.28,2311.2,-32.21
510.4,-35.01,2314.3,-31.81
510.95,-34.03,2317.2,-30.34
511.5,-33.61,2320.0,-29.72
512.05,-34.76,2322.7,-31.43
512.6,-35.49,2325.7,-32.52
513.15,-34.24,2328.7,-30.66
513.7,-34.63,2331.6,-31.24
514.25,-35.89,2334.5,-33.12
514.8,-35.79,2337.7,-32.97
515.35,-35.03,2340.8,-31.84
515.9,-33.89,2343.8,-30.13
516.45,-34.54,2346.6,-31.1
517.0,-33.87,2349.5,-30.1
517.55,-33.05,2352.3,-28.88
518.1,-32.69,2354.9,-28.34
518.65,-34.84,2357.6,-31.55
519.2,-35.01,2360.5,-31.81
519.75,-36.14,2363.5,-33.49
520.3,-35.53,2366.8,-32.58
520.85,-35.25,2369.9,-32.16
521.4,-34.28,2373.0,-30.72
521.95,-34.11,2375.8,-30.46
522.5,-34.08,2378.6,-30.42
523.05,-34.38,2381.4,-30.87
523.6,-33.99,2384.3,-30.28
524.15,-33.81,2387.1,-30.01
524.7,-35.15,2389.9,-32.01
525.25,-36.76,2392.9,-34.42
525.8,-34.7,2396.4,-31.34
526.35,-34.81,2399.3,-31.51
526.9,-34.89,2402.3,-31.63
527.45,-36.36,2405.3,-33.82
528.0,-33.92,2408.6,-30.18
528.55,-34.55,2411.4,-31.12
529.1,-35.66,2414.3,-32.78
529.65,-34.27,2417.5,-30.7
530.2,-35.02,2420.4,-31.82
530.75,-33.74,2423.4,-29.91
531.3,-36.35,2426.1,-33.81
531.85,-34.87,2429.5,-31.6
532.4,-34.13,2432.5,-30.49
532.95,-35.25,2435.3,-32.16
533.5,-35.53,2438.4,-32.58
534.05,-34.46,2441.5,-30.99
534.6,-34.23,2444.4,-30.64
535.15,-34.19,2447.3,-30.58
535.7,-34.74,2450.1,-31.4
536.25,-34.6,2453.1,-31.19
536.8,-33.96,2456.0,-30.24
537.35,-35.73,2458.8,-32.88
537.9,-34.39,2462.0,-30.88
538.45,-34.92,2464.9,-31.67
539.0,-35.07,2467.9,-31.9
539.55,-35.68,2470.9,-32.81
540.1,-35.56,2474.1,-32.63
540.65,-35.57,2477.3,-32.64
541.2,-33.81,2480.4,-30.01
541.75,-34.08,2483.2,-30.42
542.3,-33.9,2486.1,-30.15
542.85,-34.09,2488.9,-30.43
543.4,-33.91,2491.7,-30.16
543.95,-33.96,2494.6,-30.24
544.5,-34.36,2497.4,-30.84
545.05,-33.72,2500.3,-29.88
545.6,-33.99,2503.1,-30.28
546.15,-34.58,2505.9,-31.16
546.7,-33.67,2508.8,-29.81
547.25,-34.39,2511.6,-30.88
547.8,-34.59,2514.5,-31.18
548.35,-34.77,2517.5,-31.45
548.9,-33.93,2520.4,-30.19
549.45,-34.34,2523.3,-30.81
550.0,-33.46,2526.2,-29.49
550.55,-35.39,2528.9,-32.37
551.1,-33.64,2532.1,-29.76
551.65,-34.62,2534.8,-31.22
552.2,-36.4,2537.8,-33.88
552.75,-36.37,2541.2,-33.84
553.3,-34.14,2544.7,-30.51
553.85,-34.63,2547.6,-31.24
554.4,-33.99,2550.5,-30.28
554.95,-35.51,2553.4,-32.55
555.5,-35.61,2556.5,-32.7
556.05,-34.0,2559.7,-30.3
556.6,-35.18,2562.6,-32.06
557.15,-34.48,2565.7,-31.01
557.7,-34.73,2568.6,-31.39
558.25,-34.79,2571.6,-31.48
558.8,-35.13,2574.6,-31.99
559.35,-33.4,2577.7,-29.4
559.9,-34.8,2580.4,-31.49
560.45,-34.67,2583.4,-31.3
561.0,-33.83,2586.4,-30.04
561.55,-34.96,2589.2,-31.73
562.1,-35.76,2592.3,-32.93
562.65,-34.38,2595.5,-30.87
563.2,-34.43,2598.5,-30.94
563.75,-34.87,2601.4,-31.6
564.3,-34.75,2604.4,-31.42
564.85,-36.46,2607.4,-33.97
565.4,-33.72,2610.9,-29.88
565.95,-33.37,2613.7,-29.36
566.5,-34.66,2616.5,-31.28
567.05,-36.46,2619.5,-33.97
567.6,-34.5,2623.0,-31.04
568.15,-34.5,2626.0,-31.04
568.7,-34.15,2628.9,-30.52
569.25,-34.23,2631.8,-30.64
569.8,-35.57,2634.7,-32.64
570.35,-34.91,2637.9,-31.66
570.9,-35.66,2641.0,-32.78
571.45,-34.64,2644.2,-31.25
572.0,-35.6,2647.2,-32.69
572.55,-34.51,2650.4,-31.06
573.1,-35.21,2653.4,-32.1
573.65,-34.17,2656.5,-30.55
574.2,-33.94,2659.4,-30.21
574.75,-34.62,2662.3,-31.22
575.3,-35.04,2665.3,-31.85
575.85,-35.21,2668.4,-32.1
576.4,-35.12,2671.5,-31.97
576.95,-33.95,2674.6,-30.22
577.5,-34.53,2677.5,-31.09
578.05,-34.46,2680.4,-30.99
578.6,-34.94,2683.4,-31.7
579.15,-34.36,2686.5,-30.84
579.7,-36.27,2689.4,-33.69
580.25,-35.3,2692.9,-32.24
580.8,-33.82,2696.0,-30.03
581.35,-34.13,2698.9,-30.49
581.9,-35.28,2701.8,-32.21
582.45,-33.2,2705.0,-29.1
583.0,-35.9,2707.7,-33.13
583.55,-36.44,2711.1,-33.94
584.1,-34.56,2714.6,-31.13
584.65,-34.73,2717.6,-31.39
585.2,-34.34,2720.6,-30.81
585.75,-35.2,2723.6,-32.09
586.3,-34.49,2726.7,-31.03
586.85,-35.53,2729.7,-32.58
587.4,-33.76,2732.9,-29.94
587.95,-34.9,2735.8,-31.64
588.5,-35.18,2738.9,-32.06
589.05,-36.33,2742.0,-33.78
589.6,-35.49,2745.5,-32.52
590.15,-34.51,2748.7,-31.06
590.7,-35.25,2751.7,-32.16
591.25,-36.18,2754.9,-33.55
591.8,-34.34,2758.3,-30.81
592.35,-33.95,2761.3,-30.22
592.9,-35.22,2764.2,-32.12
593.45,-34.69,2767.4,-31.33
594.0,-34.22,2770.4,-30.63
594.55,-35.12,2773.3,-31.97
595.1,-35.02,2776.5,-31.82
595.65,-34.65,2779.6,-31.27
596.2,-35.12,2782.6,-31.97
596.75,-35.13,2785.8,-31.99
597.3,-33.54,2788.9,-29.61
597.85,-34.38,2791.8,-30.87
598.4,-34.54,2794.7,-31.1
598.95,-33.47,2797.8,-29.51
599.5,-36.3,2800.6,-33.73
600.05,-33.91,2804.1,-30.16
600.6,-34.57,2807.0,-31.15
601.15,-35.29,2810.0,-32.22
601.7,-34.1,2813.2,-30.45
602.25,-33.63,2816.2,-29.75
602.8,-34.79,2819.0,-31.48
603.35,-34.71,2822.1,-31.36
603.9,-35.47,2825.2,-32.49
604.45,-34.22,2828.4,-30.63
605.0,-35.79,2831.4,-32.97
605.55,-35.49,2834.7,-32.52
606.1,-34.55,2838.0,-31.12
606.65,-34.79,2841.0,-31.48
607.2,-35.13,2844.1,-31.99
607.75,-35.11,2847.2,-31.96
608.3,-35.95,2850.4,-33.21
608.85,-34.78,2853.8,-31.46
609.4,-35.28,2856.9,-32.21
609.95,-36.15,2860.1,-33.51
610.5,-34.27,2863.6,-30.7
611.05,-33.96,2866.5,-30.24
611.6,-34.13,2869.5,-30.49
612.15,-34.31,2872.4,-30.76
612.7,-35.46,2875.4,-32.48
613.25,-34.41,2878.7,-30.91
613.8,-35.21,2881.7,-32.1
614.35,-34.5,2884.9,-31.04
614.9,-36.24,2887.9,-33.64
615.45,-35.85,2891.4,-33.06
616.0,-35.63,2894.8,-32.73
616.55,-34.47,2898.1,-31.0
617.1,-35.2,2901.2,-32.09
617.65,-35.29,2904.4,-32.22
618.2,-34.93,2907.6,-31.69
618.75,-34.41,2910.7,-30.91
619.3,-34.63,2913.7,-31.24
619.85,-34.59,2916.8,-31.18
620.4,-34.05,2919.9,-30.37
620.95,-34.58,2922.8,-31.16
621.5,-34.56,2925.9,-31.13
622.05,-35.0,2929.0,-31.79
622.6,-34.7,2932.1,-31.34
623.15,-33.62,2935.2,-29.73
623.7,-34.23,2938.1,-30.64
624.25,-33.68,2941.1,-29.82
624.8,-35.05,2944.0,-31.87
625.35,-34.58,2947.2,-31.16
625.9,-34.08,2950.3,-30.42
626.45,-35.07,2953.2,-31.9
627.0,-35.59,2956.4,-32.67
627.55,-34.34,2959.7,-30.81
628.1,-35.09,2962.8,-31.93
628.65,-33.16,2966.0,-29.04
629.2,-35.02,2968.8,-31.82
629.75,-34.87,2972.0,-31.6
630.3,-34.56,2975.1,-31.13
630.85,-34.32,2978.2,-30.78
631.4,-34.32,2981.2,-30.78
631.95,-35.85,2984.3,-33.06
632.5,-34.15,2987.7,-30.52
633.05,-34.43,2990.7,-30.94
633.6,-35.25,2993.7,-32.16
634.15,-35.7,2997.0,-32.84
634.7,-34.86,3000.3,-31.58
635.25,-35.29,3003.5,-32.22
635.8,-34.48,3006.7,-31.01
636.35,-35.99,3009.8,-33.27
636.9,-35.35,3013.3,-32.31
637.45,-33.83,3016.5,-30.04
638.0,-35.91,3019.5,-33.15
638.55,-35.59,3022.9,-32.67
639.1,-35.11,3026.3,-31.96
639.65,-33.7,3029.5,-29.85
640.2,-34.61,3032.4,-31.21
640.75,-34.29,3035.5,-30.73
641.3,-34.51,3038.6,-31.06
641.85,-33.73,3041.7,-29.9
642.4,-36.42,3044.6,-33.91
642.95,-35.43,3048.2,-32.43
643.5,-35.41,3051.6,-32.4
644.05,-35.99,3054.9,-33.27
644.6,-34.65,3058.3,-31.27
645.15,-33.38,3061.5,-29.37
645.7,-34.16,3064.4,-30.54
646.25,-35.98,3067.4,-33.25
646.8,-35.12,3070.9,-31.97
647.35,-33.93,3074.1,-30.19
647.9,-34.41,3077.1,-30.91
648.45,-35.28,3080.2,-32.21
649.0,-33.83,3083.4,-30.04
649.55,-34.48,3086.4,-31.01
650.1,-34.06,3089.5,-30.39
650.65,-36.28,3092.5,-33.7
651.2,-36.19,3096.1,-33.57
651.75,-34.34,3099.7,-30.81
652.3,-35.1,3102.8,-31.94
652.85,-34.98,3106.0,-31.76
653.4,-34.77,3109.2,-31.45
653.95,-35.08,3112.4,-31.91
654.5,-35.01,3115.6,-31.81
655.05,-35.35,3118.8,-32.31
655.6,-35.74,3122.1,-32.9
656.15,-35.19,3125.6,-32.07
656.7,-34.71,3128.8,-31.36
657.25,-35.31,3132.0,-32.25
657.8,-35.4,3135.3,-32.39
658.35,-35.16,3138.6,-32.03
658.9,-35.6,3141.9,-32.69
659.45,-35.58,3145.3,-32.66
660.0,-34.52,3148.6,-31.07
660.55,-34.32,3151.8,-30.78
661.1,-33.79,3154.8,-29.99
661.65,-33.41,3157.8,-29.42
662.2,-33.83,3160.8,-30.04
662.75,-33.67,3163.8,-29.81
663.3,-35.2,3166.7,-32.09
663.85,-34.91,3170.0,-31.66
664.4,-34.66,3173.2,-31.28
664.95,-34.62,3176.4,-31.22
665.5,-35.55,3179.5,-32.61
666.05,-35.76,3182.9,-32.93
666.6,-34.61,3186.4,-31.21
667.15,-34.63,3189.5,-31.24
667.7,-34.44,3192.7,-30.96
668.25,-35.71,3195.8,-32.85
668.8,-35.01,3199.2,-31.81
669.35,-35.63,3202.5,-32.73
669.9,-35.41,3205.9,-32.4
670.45,-35.93,3209.3,-33.18
671.0,-33.91,3212.8,-30.16
671.55,-35.72,3215.8,-32.87
672.1,-34.04,3219.3,-30.36
672.65,-34.69,3222.3,-31.33
673.2,-34.15,3225.5,-30.52
673.75,-33.4,3228.6,-29.4
674.3,-35.55,3231.5,-32.61
674.85,-34.07,3234.9,-30.4
675.4,-34.49,3238.0,-31.03
675.95,-35.17,3241.1,-32.04
676.5,-34.16,3244.4,-30.54
677.05,-33.71,3247.5,-29.87
677.6,-35.18,3250.5,-32.06
678.15,-34.85,3253.8,-31.57
678.7,-34.03,3257.0,-30.34
679.25,-34.8,3260.1,-31.49
679.8,-34.3,3263.3,-30.75
680.35,-33.68,3266.4,-29.82
680.9,-34.19,3269.4,-30.58
681.45,-34.0,3272.5,-30.3
682.0,-35.17,3275.6,-32.04
682.55,-33.281,3278.9,-29.23
683.1,-34.18,3281.9,-30.57
683.65,-34.92,3285.0,-31.67
684.2,-34.74,3288.2,-31.4
684.75,-34.54,3291.4,-31.1
685.3,-34.32,3294.6,-30.78
685.85,-33.69,3297.7,-29.84
686.4,-34.05,3300.7,-30.37
686.95,-34.6,3303.8,-31.19
687.5,-34.59,3307.0,-31.18
688.05,-33.44,3310.2,-29.46
688.6,-32.72,3313.2,-28.39
689.15,-34.5,3316.1,-31.04
689.7,-33.98,3319.3,-30.27
690.25,-35.08,3322.3,-31.91
690.8,-34.8,3325.6,-31.49
691.35,-34.96,3328.9,-31.73
691.9,-35.37,3332.1,-32.34
692.45,-34.33,3335.5,-30.79
693.0,-35.22,3338.7,-32.12
693.55,-34.64,3342.0,-31.25
694.1,-33.46,3345.2,-29.49
694.65,-35.25,3348.2,-32.16
695.2,-34.33,3351.6,-30.79
695.75,-35.02,3354.7,-31.82
696.3,-33.54,3358.0,-29.61
696.85,-33.28,3361.1,-29.22
697.4,-35.32,3364.0,-32.27
697.95,-34.44,3367.4,-30.96
698.5,-35.5,3370.6,-32.54
699.05,-34.88,3374.0,-31.61
699.6,-35.27,3377.3,-32.19
700.15,-35.29,3380.7,-32.22
700.7,-34.73,3384.1,-31.39
701.25,-35.53,3387.3,-32.58
701.8,-34.51,3390.8,-31.06
702.35,-34.67,3393.9,-31.3
702.9,-34.05,3397.2,-30.37
703.45,-34.57,3400.3,-31.15
704.0,-35.54,3403.5,-32.6
704.55,-34.91,3407.0,-31.66
705.1,-34.27,3410.2,-30.7
705.65,-34.8,3413.4,-31.49
706.2,-34.5,3416.7,-31.04
706.75,-34.2,3419.9,-30.6
707.3,-34.37,3423.0,-30.85
707.85,-36.73,3426.2,-34.37
708.4,-34.56,3430.1,-31.13
708.95,-35.02,3433.3,-31.82
709.5,-35.69,3436.6,-32.82
710.05,-34.44,3440.2,-30.96
710.6,-34.61,3443.4,-31.21
711.15,-35.94,3446.6,-33.19
711.7,-34.67,3450.2,-31.3
712.25,-34.21,3453.4,-30.61
712.8,-36.0,3456.6,-33.28
713.35,-34.96,3460.2,-31.73
713.9,-34.88,3463.5,-31.61
714.45,-34.64,3466.8,-31.25
715.0,-35.2,3470.1,-32.09
715.55,-35.13,3473.5,-31.99
716.1,-34.4,3476.9,-30.9
716.65,-34.55,3480.0,-31.12
717.2,-34.7,3483.3,-31.34
717.75,-33.57,3486.5,-29.66
718.3,-34.07,3489.6,-30.4
718.85,-34.2,3492.8,-30.6
719.4,-34.12,3495.9,-30.48
719.95,-36.35,3499.1,-33.81
720.5,-35.31,3502.8,-32.25
721.05,-34.14,3506.3,-30.51
721.6,-34.39,3509.4,-30.88
722.15,-33.99,3512.6,-30.28
722.7,-34.66,3515.8,-31.28
723.25,-34.28,3519.0,-30.72
723.8,-33.78,3522.2,-29.97
724.35,-35.51,3525.3,-32.55
724.9,-35.35,3528.8,-32.31
725.45,-35.07,3532.3,-31.9
726.0,-33.96,3535.6,-30.24
726.55,-34.43,3538.8,-30.94
727.1,-34.41,3542.0,-30.91
727.65,-35.01,3545.2,-31.81
728.2,-35.23,3548.6,-32.13
728.75,-34.95,3552.0,-31.72
729.3,-34.7,3555.4,-31.34
729.85,-33.74,3558.7,-29.91
730.4,-34.91,3561.8,-31.66
730.95,-34.25,3565.1,-30.67
731.5,-35.66,3568.3,-32.78
732.05,-36.09,3571.9,-33.42
732.6,-35.91,3575.6,-33.15
733.15,-33.67,3579.2,-29.81
733.7,-34.23,3582.3,-30.64
734.25,-34.85,3585.5,-31.57
734.8,-35.94,3588.8,-33.19
735.35,-35.2,3592.5,-32.09
735.9,-35.49,3595.9,-32.52
736.45,-36.26,3599.4,-33.67
737.0,-34.51,3603.2,-31.06
737.55,-34.1,3606.5,-30.45
738.1,-34.51,3609.7,-31.06
738.65,-34.89,3612.9,-31.63
739.2,-35.24,3616.3,-32.15
739.75,-35.22,3619.7,-32.12
740.3,-34.51,3623.2,-31.06
740.85,-34.27,3626.5,-30.7
741.4,-35.19,3629.7,-32.07
741.95,-35.9,3633.1,-33.13
742.5,-34.99,3636.8,-31.78
743.05,-34.68,3640.2,-31.31
743.6,-34.29,3643.5,-30.73
744.15,-35.71,3646.7,-32.85
744.7,-35.2,3650.3,-32.09
745.25,-34.24,3653.8,-30.66
745.8,-34.16,3657.0,-30.54
746.35,-34.6,3660.2,-31.19
746.9,-34.87,3663.5,-31.6
747.45,-34.21,3666.9,-30.61
748.0,-35.61,3670.1,-32.7
748.55,-34.46,3673.7,-30.99
749.1,-32.8,3676.9,-28.51
749.65,-34.37,3680.0,-30.85
750.2,-34.58,3683.2,-31.16
750.75,-33.8,3686.5,-30.0
751.3,-35.26,3689.7,-32.18
751.85,-33.69,3693.2,-29.84
752.4,-34.75,3696.3,-31.42
752.95,-34.17,3699.7,-30.55
753.5,-33.49,3702.9,-29.54
754.05,-33.58,3706.0,-29.67
754.6,-35.19,3709.1,-32.07
755.15,-35.33,3712.6,-32.28
755.7,-34.18,3716.1,-30.57
756.25,-34.47,3719.3,-31.0
756.8,-34.81,3722.6,-31.51
757.35,-35.2,3726.0,-32.09
757.9,-36.13,3729.5,-33.48
758.45,-35.77,3733.3,-32.94
759.0,-34.62,3736.9,-31.22
759.55,-34.34,3740.2,-30.81
760.1,-34.84,3743.5,-31.55
760.65,-35.09,3746.9,-31.93
761.2,-35.17,3750.4,-32.04
761.75,-34.34,3753.8,-30.81
762.3,-34.88,3757.1,-31.61
762.85,-34.53,3760.5,-31.09
763.4,-34.56,3763.8,-31.13
763.95,-35.27,3767.2,-32.19
764.5,-34.26,3770.7,-30.69
765.05,-35.51,3773.9,-32.55
765.6,-35.51,3777.5,-32.55
766.15,-33.62,3781.1,-29.73
766.7,-34.39,3784.3,-30.88
767.25,-35.12,3787.6,-31.97
767.8,-35.34,3791.0,-32.3
768.35,-36.13,3794.6,-33.48
768.9,-34.64,3798.4,-31.25
769.45,-35.48,3801.7,-32.51
770.0,-34.79,3805.3,-31.48
770.55,-34.42,3808.7,-30.93
771.1,-34.47,3812.0,-31.0
771.65,-34.43,3815.3,-30.94
772.2,-33.69,3818.7,-29.84
772.75,-34.14,3821.8,-30.51
773.3,-35.44,3825.1,-32.45
773.85,-35.37,3828.7,-32.34
774.4,-35.32,3832.2,-32.27
774.95,-35.3,3835.8,-32.24
775.5,-34.48,3839.3,-31.01
776.05,-33.87,3842.7,-30.1
776.6,-34.84,3845.9,-31.55
777.15,-35.01,3849.3,-31.81
777.7,-34.32,3852.8,-30.78
778.25,-33.65,3856.1,-29.78
778.8,-35.9,3859.3,-33.13
779.35,-35.93,3863.0,-33.18
779.9,-35.98,3866.8,-33.25
780.45,-35.15,3870.5,-32.01
781.0,-35.1,3874.1,-31.94
781.55,-35.32,3877.6,-32.27
782.1,-34.94,3881.1,-31.7
782.65,-33.61,3884.6,-29.72
783.2,-35.47,3887.8,-32.49
783.75,-35.3,3891.4,-32.24
784.3,-35.26,3894.9,-32.18
784.85,-34.84,3898.5,-31.55
785.4,-33.74,3901.9,-29.91
785.95,-34.73,3905.1,-31.39
786.5,-34.07,3908.6,-30.4
787.05,-34.55,3911.8,-31.12
787.6,-34.76,3915.2,-31.43
788.15,-36.1,3918.6,-33.43
788.7,-34.4,3922.5,-30.9
789.25,-34.61,3925.8,-31.21
789.8,-34.5,3929.2,-31.04
790.35,-35.29,3932.6,-32.22
790.9,-32.3,3936.2,-27.76
791.45,-34.94,3939.2,-31.7
792.0,-35.0,3942.7,-31.79
792.55,-34.31,3946.2,-30.76
793.1,-35.4,3949.5,-32.39
793.65,-34.75,3953.2,-31.42
794.2,-36.33,3956.6,-33.78
794.75,-34.91,3960.5,-31.66
795.3,-34.46,3964.0,-30.99
795.85,-34.2,3967.4,-30.6
796.4,-34.25,3970.7,-30.67
796.95,-34.45,3974.0,-30.97
797.5,-34.66,3977.4,-31.28
798.05,-35.81,3980.8,-33.0
798.6,-34.55,3984.6,-31.12
799.15,-34.99,3988.0,-31.78
799.7,-34.35,3991.5,-30.82
800.25,-33.98,3994.9,-30.27
800.8,-35.54,3998.1,-32.6
801.35,-34.38,4001.8,-30.87
801.9,-34.45,4005.2,-30.97
802.45,-35.06,4008.6,-31.88
803.0,-35.52,4012.1,-32.57
803.55,-34.0,4015.8,-30.3
804.1,-35.42,4019.1,-32.42
804.65,-34.61,4022.7,-31.21
805.2,-34.41,4026.2,-30.91
805.75,-35.21,4029.5,-32.1
806.3,-34.39,4033.1,-30.88
806.85,-34.59,4036.5,-31.18
807.4,-33.95,4039.9,-30.22
807.95,-33.65,4043.2,-29.78
808.5,-34.34,4046.5,-30.81
809.05,-34.86,4049.9,-31.58
809.6,-35.27,4053.4,-32.19
810.15,-34.74,4057.0,-31.4
810.7,-34.16,4060.4,-30.54
811.25,-35.8,4063.8,-32.99
811.8,-35.61,4067.6,-32.7
812.35,-35.13,4071.3,-31.99
812.9,-34.19,4074.9,-30.58
813.45,-34.32,4078.2,-30.78
814.0,-34.43,4081.6,-30.94
814.55,-33.54,4085.0,-29.61
815.1,-34.88,4088.3,-31.61
815.65,-34.79,4091.8,-31.48
816.2,-34.05,4095.3,-30.37
816.75,-33.86,4098.6,-30.09
