Depth (m),del18O,Age (yrs BP),temperature
95.7,-34.81,281.04,-31.51
96.25,-34.91,283.3,-31.66
96.8,-34.42,285.59,-30.93
97.35,-35.7,287.8,-32.84
97.9,-35.88,290.24,-33.1
98.45,-35.11,292.73,-31.96
99.0,-35.56,295.06,-32.63
99.55,-34.09,297.48,-30.43
100.1,-34.88,299.66,-31.61
100.65,-35.92,301.96,-33.16
101.2,-34.66,304.47,-31.28
101.75,-34.63,306.73,-31.24
102.3,-36.19,309.0,-33.57
102.85,-35.53,311.59,-32.58
103.4,-35.26,314.02,-32.18
103.95,-34.35,316.4,-30.82
104.5,-33.81,318.64,-30.01
105.05,-35.47,320.8,-32.49
105.6,-36.71,323.24,-34.34
106.15,-35.36,325.99,-32.33
106.7,-34.95,328.4,-31.72
107.25,-36.17,330.74,-33.54
107.8,-33.75,333.35,-29.93
108.35,-35.1,335.52,-31.94
108.9,-35.37,337.89,-32.34
109.45,-35.18,340.32,-32.06
110.0,-35.69,342.71,-32.82
110.55,-35.19,345.21,-32.07
111.1,-35.86,347.61,-33.07
111.65,-35.06,350.16,-31.88
112.2,-33.51,352.54,-29.57
112.75,-34.98,354.7,-31.76
113.3,-34.94,357.07,-31.7
113.85,-34.86,359.43,-31.58
114.4,-34.13,361.79,-30.49
114.95,-35.9,364.03,-33.13
115.5,-35.43,366.6,-32.43
116.05,-34.97,369.06,-31.75
116.6,-34.8,371.44,-31.49
117.15,-34.17,373.79,-30.55
117.7,-34.84,376.05,-31.55
118.25,-34.94,378.41,-31.7
118.8,-36.88,380.79,-34.6
119.35,-35.37,383.65,-32.34
119.9,-35.72,386.12,-32.87
120.45,-34.42,388.66,-30.93
121.0,-34.57,390.96,-31.15
121.55,-34.87,393.29,-31.6
122.1,-35.12,395.67,-31.97
122.65,-34.07,398.09,-30.4
123.2,-36.05,400.35,-33.36
123.75,-35.75,402.99,-32.91
124.3,-34.47,405.55,-31.0
124.85,-35.75,407.87,-32.91
125.4,-34.52,410.44,-31.07
125.95,-34.43,412.77,-30.94
126.5,-34.87,415.09,-31.6
127.05,-34.73,417.48,-31.39
127.6,-34.97,419.85,-31.75
128.15,-34.9,422.26,-31.64
128.7,-35.32,424.67,-32.27
129.25,-34.67,427.15,-31.3
129.8,-36.76,429.51,-34.42
130.35,-33.78,432.37,-29.97
130.9,-34.97,434.62,-31.75
131.45,-34.14,437.04,-30.51
132.0,-34.75,439.33,-31.42
132.55,-34.7,441.72,-31.34
133.1,-34.79,444.1,-31.48
133.65,-34.37,446.49,-30.85
134.2,-34.44,448.82,-30.96
134.75,-35.37,451.16,-32.34
135.3,-35.3,453.67,-32.24
135.85,-36.29,456.16,-33.72
136.4,-34.58,458.9,-31.16
136.95,-35.91,461.27,-33.15
137.5,-35.42,463.91,-32.42
138.05,-35.62,466.43,-32.72
138.6,-34.75,469.0,-31.42
139.15,-35.42,471.4,-32.42
139.7,-36.02,473.93,-33.31
140.25,-36.51,476.6,-34.04
140.8,-34.64,479.41,-31.25
141.35,-34.96,481.8,-31.73
141.9,-34.57,484.24,-31.15
142.45,-34.29,486.62,-30.73
143.0,-34.58,488.96,-31.16
143.55,-34.56,491.34,-31.13
144.1,-35.77,493.72,-32.94
144.65,-34.75,496.34,-31.42
145.2,-34.87,498.75,-31.6
145.75,-34.63,501.18,-31.24
146.3,-34.22,503.58,-30.63
